#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 10 25 00 54 350  1.0  1.0    MM    MM    MM  MM 1011.7  18.1  18.3    MM   MM   MM    MM
2024 10 25 00 48 350  1.0  1.0    MM    MM    MM  MM 1011.7  18.4  18.4    MM   MM   MM    MM
2024 10 25 00 42 350  1.0  1.0    MM    MM    MM  MM 1011.7  18.8  18.5    MM   MM   MM    MM
2024 10 25 00 36 360  0.5  1.0    MM    MM    MM  MM 1011.7  18.9  18.5    MM   MM   MM    MM
2024 10 25 00 30 340  1.0  1.5    MM    MM    MM  MM 1011.6  18.9  18.5    MM   MM   MM    MM
2024 10 25 00 24 330  1.0  1.5    MM    MM    MM  MM 1011.6  19.1  18.6    MM   MM   MM    MM
2024 10 25 00 18 310  1.0  1.5    MM    MM    MM  MM 1011.7  19.2  18.6    MM   MM   MM    MM
2024 10 25 00 12 310  1.0  1.0    MM    MM    MM  MM 1011.7  19.4  18.4    MM   MM   MM    MM
2024 10 25 00 06 320  1.0  1.5    MM    MM    MM  MM 1011.7  19.5  18.4    MM   MM   MM    MM
2024 10 25 00 00 320  1.0  1.0    MM    MM    MM  MM 1011.7  19.7  18.4    MM   MM -0.9    MM
2024 10 24 23 54 300  1.0  1.5    MM    MM    MM  MM 1011.7  20.3  18.4    MM   MM   MM    MM
2024 10 24 23 48 300  1.0  1.0    MM    MM    MM  MM 1011.7  20.8  18.2    MM   MM   MM    MM
2024 10 24 23 42 270  1.0  1.0    MM    MM    MM  MM 1011.8  20.8  18.2    MM   MM   MM    MM
2024 10 24 23 36 280  1.0  1.0    MM    MM    MM  MM 1011.8  20.7  18.1    MM   MM   MM    MM
2024 10 24 23 30 280  1.0  1.0    MM    MM    MM  MM 1011.8  20.7  18.1    MM   MM   MM    MM
2024 10 24 23 24 290  1.0  1.0    MM    MM    MM  MM 1011.9  20.7  18.0    MM   MM   MM    MM
2024 10 24 23 00  MM  0.0  1.0    MM    MM    MM  MM 1012.1  21.1  17.9    MM   MM -1.6    MM
2024 10 24 22 54 290  1.0  1.5    MM    MM    MM  MM 1012.1  19.9  17.9    MM   MM   MM    MM
2024 10 24 22 48 320  1.0  2.1    MM    MM    MM  MM 1012.2    MM  17.8    MM   MM   MM    MM
2024 10 24 22 42 300  1.5  2.6    MM    MM    MM  MM 1012.1    MM  18.0    MM   MM   MM    MM
2024 10 24 22 36 290  2.1  2.6    MM    MM    MM  MM 1012.1    MM  18.0    MM   MM   MM    MM
2024 10 24 22 30 310  1.5  2.1    MM    MM    MM  MM 1012.0    MM  17.9    MM   MM   MM    MM
2024 10 24 22 24 290  1.5  2.1    MM    MM    MM  MM 1012.1    MM  18.0    MM   MM   MM    MM
2024 10 24 22 18 360  1.0  2.1    MM    MM    MM  MM 1012.1  18.1  17.8    MM   MM   MM    MM
2024 10 24 22 12  20  1.5  2.1    MM    MM    MM  MM 1012.1  17.8  17.6    MM   MM   MM    MM
2024 10 24 22 06  10  1.0  1.5    MM    MM    MM  MM 1012.1  17.9  17.8    MM   MM   MM    MM
2024 10 24 22 00 350  1.0  1.5    MM    MM    MM  MM 1012.1  18.4  17.7    MM   MM -2.2    MM
2024 10 24 21 54  MM  0.0  1.0    MM    MM    MM  MM 1012.1  19.9  17.5    MM   MM   MM    MM
2024 10 24 21 48 280  1.0  1.5    MM    MM    MM  MM 1012.2  19.0  17.6    MM   MM   MM    MM
2024 10 24 21 42 290  1.0  1.5    MM    MM    MM  MM 1012.2  18.7  17.7    MM   MM   MM    MM
2024 10 24 21 36 280  1.5  2.1    MM    MM    MM  MM 1012.3  18.0  18.4    MM   MM   MM    MM
